CrimeDate,District,Location,Value
2011-01-08,NORTHEASTERN,Inside,11
2011-01-08,NORTHEASTERN,Outside,8
2011-01-08,NORTHERN,Inside,7
2011-01-08,NORTHERN,Outside,8
2011-01-08,NORTHWESTERN,Inside,7
2011-01-08,NORTHWESTERN,Outside,6
2011-01-08,SOUTHEASTERN,Inside,9
2011-01-08,SOUTHEASTERN,Outside,5
2011-01-08,SOUTHERN,Inside,7
2011-01-08,SOUTHERN,Outside,3
2011-01-08,SOUTHWESTERN,Inside,8
2011-01-08,SOUTHWESTERN,Outside,4
2011-01-08,WESTERN,Inside,3
2011-01-08,WESTERN,Outside,3
2011-01-09,CENTRAL,Inside,5
2011-01-09,CENTRAL,Outside,13
2011-01-09,EASTERN,Inside,5
2011-01-09,EASTERN,Outside,3
2011-01-09,NORTHEASTERN,Inside,8
2011-01-09,NORTHEASTERN,Outside,8
2011-01-09,NORTHERN,Inside,5
2011-01-09,NORTHERN,Outside,7
2011-01-09,NORTHWESTERN,Inside,3
2011-01-09,SOUTHEASTERN,Inside,6
2011-01-09,SOUTHEASTERN,Outside,7
2011-01-09,SOUTHERN,Inside,7
2011-01-09,SOUTHERN,Outside,1
2011-01-09,SOUTHWESTERN,Inside,8
2011-01-09,SOUTHWESTERN,Outside,4
2011-01-09,WESTERN,Inside,6
2011-01-09,WESTERN,Outside,2
2011-01-10,CENTRAL,Inside,2
2011-01-10,CENTRAL,Outside,6
2011-01-10,EASTERN,Inside,4
2011-01-10,EASTERN,Outside,3
2011-01-10,NORTHEASTERN,Inside,10
2011-01-10,NORTHEASTERN,Outside,6
2011-01-10,NORTHERN,Inside,10
2011-01-10,NORTHERN,Outside,4
2011-01-10,NORTHWESTERN,Inside,7
2011-01-10,NORTHWESTERN,Outside,9
2011-01-10,SOUTHEASTERN,Inside,1
2011-01-10,SOUTHEASTERN,Outside,9
2011-01-10,SOUTHERN,Inside,6
2011-01-10,SOUTHERN,Outside,14
2011-01-10,SOUTHWESTERN,Inside,4
2011-01-10,SOUTHWESTERN,Outside,2
2011-01-10,WESTERN,Inside,11
2011-01-10,WESTERN,Outside,5
2011-01-11,CENTRAL,Inside,7
2011-01-11,CENTRAL,Outside,2
2011-01-11,EASTERN,Inside,4
2011-01-11,EASTERN,Outside,7
2011-01-11,NORTHEASTERN,Inside,21
2011-01-11,NORTHEASTERN,Outside,6
2011-01-11,NORTHERN,Inside,6
2011-01-11,NORTHERN,Outside,4
2011-01-11,NORTHWESTERN,Inside,10
2011-01-11,NORTHWESTERN,Outside,4
2011-01-11,SOUTHEASTERN,Inside,4
2011-01-11,SOUTHEASTERN,Outside,11
2011-01-11,SOUTHERN,Inside,10
2011-01-11,SOUTHERN,Outside,6
2011-01-11,SOUTHWESTERN,Inside,1
2011-01-11,SOUTHWESTERN,Outside,5
2011-01-11,WESTERN,Inside,5
2011-01-11,WESTERN,Outside,6
2011-01-12,CENTRAL,Inside,3
2011-01-12,CENTRAL,Outside,2
2011-01-12,EASTERN,Inside,1
2011-01-12,EASTERN,Outside,2
2011-01-12,NORTHEASTERN,Inside,8
2011-01-12,NORTHEASTERN,Outside,6
2011-01-12,NORTHERN,Inside,4
2011-01-12,NORTHERN,Outside,3
2011-01-12,NORTHWESTERN,Inside,5
2011-01-12,NORTHWESTERN,Outside,4
2011-01-12,SOUTHEASTERN,Inside,7
2011-01-12,SOUTHEASTERN,Outside,2
2011-01-12,SOUTHERN,Inside,13
2011-01-12,SOUTHERN,Outside,7
2011-01-12,SOUTHWESTERN,Inside,3
2011-01-12,SOUTHWESTERN,Outside,2
2011-01-12,WESTERN,Inside,2
2011-01-12,WESTERN,Outside,2
2011-01-13,CENTRAL,Inside,8
2011-01-13,CENTRAL,Outside,12
2011-01-13,EASTERN,Inside,9
2011-01-13,EASTERN,Outside,2
2011-01-13,NORTHEASTERN,Inside,11
2011-01-13,NORTHEASTERN,Outside,5
2011-01-13,NORTHERN,Inside,11
2011-01-13,NORTHERN,Outside,4
2011-01-13,NORTHWESTERN,Inside,7
2011-01-13,NORTHWESTERN,Outside,2
2011-01-13,SOUTHEASTERN,Inside,4
2011-01-13,SOUTHEASTERN,Outside,8
2011-01-13,SOUTHERN,Inside,7
2011-01-13,SOUTHERN,Outside,5
2011-01-13,SOUTHWESTERN,Inside,8
2011-01-13,SOUTHWESTERN,Outside,3
2011-01-13,WESTERN,Inside,1
2011-01-13,WESTERN,Outside,6
2011-01-14,CENTRAL,Inside,9
2011-01-14,CENTRAL,Outside,8
2011-01-14,EASTERN,Inside,3
2011-01-14,EASTERN,Outside,5
2011-01-14,NORTHEASTERN,Inside,11
